matrix_name,matrix_size,nnz,solver,tolerance,max_iters,rhs,precision,prec,prec_kv,prec_label,construction_time,is_converged,iters,true_relres_2,final_relres_2,final_relerr_2,final_relerr_A,solve_time,solve_status,condition_number
ND/nd12k,36000,14220946,cg,1e-12,72000,ones,dd,none,,CG (DD),0.0,1,10600.0,9.865151e-13,9.865151e-13,1.329746e-15,1.805015e-14,7108.257,reached_tol,21797578.2699976
ND/nd3k,9000,3279690,cg,1e-12,18000,ones,dd,none,,CG (DD),0.0,1,7647.0,9.657365e-13,9.657365e-13,6.419908e-16,1.700846e-14,1198.818,reached_tol,61221699.5096589
ND/nd6k,18000,6897316,cg,1e-12,36000,ones,dd,none,,CG (DD),0.0,1,9520.0,9.224252e-13,9.224252e-13,1.090716e-15,1.922511e-14,2958.177,reached_tol,55532568.608661
HB/nos1,237,1017,cg,1e-12,474,ones,dd,none,,CG (DD),0.0,0,474.0,7.776518e-05,7.776518e-05,0.478234,0.0026018,0.045,max_iterations,25343999.9999999
HB/nos2,957,4137,cg,1e-12,1914,ones,dd,none,,CG (DD),0.0,0,1914.0,2.523922e-05,2.523922e-05,0.7108554,0.0009456125,0.731,max_iterations,6340607999.9999
HB/nos3,960,15844,cg,1e-12,1920,ones,dd,none,,CG (DD),0.0,1,299.0,7.487584e-13,7.487584e-13,2.849483e-13,7.586035e-13,0.271,reached_tol,73468.3184488625
HB/nos4,100,594,cg,1e-12,200,ones,dd,none,,CG (DD),0.0,1,93.0,7.554467e-13,7.554467e-13,2.198972e-13,7.269225e-13,0.004,reached_tol,2700.36740085822
HB/nos5,468,5172,cg,1e-12,936,ones,dd,none,,CG (DD),0.0,1,462.0,5.680662e-13,5.680662e-13,7.795004e-12,1.866427e-12,0.153,reached_tol,29190.8599036028
HB/nos6,675,3255,cg,1e-12,1350,ones,dd,none,,CG (DD),0.0,1,920.0,8.259395e-13,8.259395e-13,4.99776e-09,1.242097e-10,0.265,reached_tol,8000001.0
HB/nos7,729,4617,cg,1e-12,1458,ones,dd,none,,CG (DD),0.0,0,1458.0,0.0005213117,0.0005213117,1.281373e-05,2.506753e-05,0.516,max_iterations,4054067751.28105
