matrix_name,matrix_size,nnz,solver,tolerance,max_iters,rhs,precision,prec,prec_kv,prec_label,construction_time,is_converged,iters,true_relres_2,final_relres_2,final_relerr_2,final_relerr_A,solve_time,solve_status,condition_number
Simon/olafu,16146,1015156,cg,1e-12,32292,ones,dd,none,,CG (DD),0.0,0,32292.0,1.027177e-06,1.027177e-06,0.1030436,6.848593e-05,1540.842,max_iterations,2253218549365.82
Williams/pdb1HYS,36417,4344765,cg,1e-12,72834,ones,dd,none,,CG (DD),0.0,1,5098.0,8.83741e-13,8.83741e-13,1.953594e-14,1.951473e-14,1010.86,reached_tol,2104123159162.61
HB/plat1919,1919,32399,cg,1e-12,3838,ones,dd,none,,CG (DD),0.0,0,3838.0,5.616042e-07,5.616042e-07,0.5659814,1.08553e-05,7.008,max_iterations,1.37167507698719e+18
HB/plat362,362,5786,cg,1e-12,724,ones,dd,none,,CG (DD),0.0,0,724.0,1.253112e-06,1.253112e-06,0.02348575,2.09852e-05,0.24,max_iterations,741827882500.932
Simon/raefsky4,19779,1328611,cg,1e-12,39558,ones,dd,none,,CG (DD),0.0,0,39558.0,1.409333e-07,1.409333e-07,0.404621,3.575973e-05,2462.793,max_iterations,151715430521234.0
Cylshell/s1rmq4m1,5489,281111,cg,1e-12,10978,ones,dd,none,,CG (DD),0.0,1,6564.0,8.639536e-13,8.639536e-13,8.173219e-10,2.781675e-11,88.131,reached_tol,3579777.21395883
Cylshell/s1rmt3m1,5489,219521,cg,1e-12,10978,ones,dd,none,,CG (DD),0.0,1,7723.0,9.140255e-13,9.140255e-13,2.803086e-10,1.384018e-11,82.749,reached_tol,5350235.73004992
Cylshell/s2rmq4m1,5489,281111,cg,1e-12,10978,ones,dd,none,,CG (DD),0.0,0,10978.0,2.716291e-08,2.716291e-08,0.0002644455,1.043784e-06,149.377,max_iterations,322244379.244623
Cylshell/s2rmt3m1,5489,219521,cg,1e-12,10978,ones,dd,none,,CG (DD),0.0,0,10978.0,3.724853e-06,3.724853e-06,0.006970896,6.457475e-05,117.577,max_iterations,484023419.231815
Cylshell/s3rmq4m1,5489,281111,cg,1e-12,10978,ones,dd,none,,CG (DD),0.0,0,10978.0,6.192727e-07,6.192727e-07,0.4994605,7.749513e-05,147.103,max_iterations,30666914794.6389
Cylshell/s3rmt3m1,5489,219521,cg,1e-12,10978,ones,dd,none,,CG (DD),0.0,0,10978.0,2.839455e-07,2.839455e-07,0.5416329,9.03528e-05,117.35,max_iterations,45715626071.1956
Cylshell/s3rmt3m3,5357,207695,cg,1e-12,10714,ones,dd,none,,CG (DD),0.0,0,10714.0,9.960911e-07,9.960911e-07,0.3114558,8.886071e-05,108.615,max_iterations,44389925153.9945
DNVS/ship_001,34920,4644230,cg,1e-12,69840,ones,dd,none,,CG (DD),0.0,0,69840.0,6.729316e-08,6.729316e-08,0.0870458,6.470372e-06,15084.78,max_iterations,3959640918234.16
TKK/smt,25710,3753184,cg,1e-12,51420,ones,dd,none,,CG (DD),0.0,1,9627.0,9.468344e-13,9.468344e-13,5.648476e-12,4.22994e-12,1664.865,reached_tol,6125998216.27178
Cannizzo/sts4098,4098,72356,cg,1e-12,8196,ones,dd,none,,CG (DD),0.0,0,8196.0,1.647487e-07,1.647487e-07,0.001123225,5.056372e-06,33.361,max_iterations,450948604.203564
DNVS/thread,29736,4470048,cg,1e-12,59472,ones,dd,none,,CG (DD),0.0,0,59472.0,0.5820382,0.5820382,0.4372181,0.1149037,12251.12,max_iterations,63798637401.6338
GHS_psdef/vanbody,47072,2336898,cg,1e-12,94144,ones,dd,none,,CG (DD),0.0,0,94144.0,9.811973e-10,9.811973e-10,0.106539,4.631152e-06,10664.8,max_iterations,9.43933175029573e+18
HB/494_bus,494,1666,cg,1e-12,988,ones,double,none,,CG (double),0.0,0,988.0,1.367262579386e-07,1.36726258388718e-07,7.09543956118276e-06,1.92440548562078e-06,0.0026865416666666,max_iterations,3890550.25264951
ACUSIM/Pres_Poisson,14822,715804,cg,1e-12,29644,ones,double,none,,CG (double),0.0,1,2689.0,9.76668878771429e-13,9.53698889480162e-13,1.21646930892316e-12,1.32720510670875e-12,1.01538145833333,reached_tol,3198340.84967885
HB/bcsstk01,48,400,cg,1e-12,96,ones,double,none,,CG (double),0.0,0,96.0,1.24277977987872e-06,1.24277977979061e-06,0.117179577643861,0.0002326383654384,0.0001605833333333,max_iterations,1597600.87587006
